Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
RWE,2025-11-13,70.2,15.0,14.8,Kurzfristige Tendenz,70.2,20.0,9.8,Mittelfristige Tendenz,80.5,8.51,15.33,55.5,60.5
Deutsche Bank,2025-11-13,69.6,15.0,15.4,Kurzfristige Tendenz,69.6,20.0,10.4,Mittelfristige Tendenz,79.2,6.83,15.38,54.2,59.2
Volkswagen,2025-11-13,69.1,15.0,15.9,Kurzfristige Tendenz,69.1,20.0,10.9,Mittelfristige Tendenz,78.2,6.77,9.48,53.2,58.2
Mercedes-Benz,2025-11-13,68.5,15.0,16.5,Kurzfristige Tendenz,68.5,20.0,11.5,Mittelfristige Tendenz,77.0,2.84,11.33,52.0,57.0
Porsche,2025-11-13,68.4,15.0,16.6,Kurzfristige Tendenz,68.4,20.0,11.6,Mittelfristige Tendenz,76.7,7.37,7.99,51.7,56.7
BMW,2025-11-13,68.0,15.0,17.0,Kurzfristige Tendenz,68.0,20.0,12.0,Mittelfristige Tendenz,76.0,5.65,9.73,51.0,56.0
Commerzbank,2025-11-13,67.9,15.0,17.1,Kurzfristige Tendenz,67.9,20.0,12.1,Mittelfristige Tendenz,75.7,9.16,15.11,50.7,55.7
Bayer,2025-11-13,67.1,15.0,17.9,Kurzfristige Tendenz,67.1,20.0,12.9,Mittelfristige Tendenz,74.3,11.28,6.21,49.3,54.3
Infineon,2025-11-13,66.0,15.0,19.0,Kurzfristige Tendenz,66.0,20.0,14.0,Mittelfristige Tendenz,72.0,8.4,9.78,47.0,52.0
Merck,2025-11-13,65.6,15.0,19.4,Kurzfristige Tendenz,65.6,20.0,14.4,Mittelfristige Tendenz,71.2,11.6,7.0,46.2,51.2
Heidelberg Materials,2025-11-13,65.5,15.0,19.5,Kurzfristige Tendenz,65.5,20.0,14.5,Mittelfristige Tendenz,70.9,9.38,7.84,45.9,50.9
Daimler Truck,2025-11-13,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,2.37,2.2,44.0,49.0
Henkel,2025-11-13,63.7,15.0,21.3,Kurzfristige Tendenz,63.7,20.0,16.3,Mittelfristige Tendenz,67.3,2.09,2.04,42.3,47.3
Hannover Rück,2025-11-13,62.6,15.0,22.4,Kurzfristige Tendenz,62.6,20.0,17.4,Mittelfristige Tendenz,65.1,4.88,2.42,40.1,45.1
