Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
RWE,2025-11-03,66.7,15,18.3,Kurzfristige Tendenz,66.7,20,13.3,Mittelfristige Tendenz,73.5,5.41,4.05,48.5,53.5
Airbus,2025-11-03,66.7,15,18.3,Kurzfristige Tendenz,66.7,20,13.3,Mittelfristige Tendenz,73.3,2.28,5.51,48.3,53.3
Heidelberg Materials,2025-11-03,64.2,15,20.8,Kurzfristige Tendenz,64.2,20,15.8,Mittelfristige Tendenz,68.4,0.99,4.72,43.4,48.4
Fresenius,2025-11-03,64.2,15,20.8,Kurzfristige Tendenz,64.2,20,15.8,Mittelfristige Tendenz,68.3,1.28,4.08,43.3,48.3
Mercedes-Benz,2025-11-03,62.1,15,22.9,Kurzfristige Tendenz,62.1,20,17.9,Mittelfristige Tendenz,64.2,4.11,5.18,39.2,44.2
Deutsche Bank,2025-11-03,60.9,15,24.1,Kurzfristige Tendenz,60.9,20,19.1,Mittelfristige Tendenz,61.9,6.11,1.41,36.9,41.9
Siemens Energy,2025-11-03,59.4,15,25.6,Kurzfristige Tendenz,59.4,20,20.6,Mittelfristige Tendenz,58.7,4.17,-1.11,33.7,38.7
Commerzbank,2025-11-03,58.6,15,26.4,Kurzfristige Tendenz,58.6,20,21.4,Mittelfristige Tendenz,57.1,3.28,1.42,32.1,37.1
Continental,2025-11-03,58.0,15,27.0,Kurzfristige Tendenz,68.0,20,12.0,Mittelfristige Tendenz,76.0,0.12,15.49,31.0,56.0
Deutsche Telekom,2025-11-03,29.2,15,55.8,Kurzfristige Tendenz,29.2,20,50.8,Mittelfristige Tendenz,18.3,-7.28,-8.66,26.7,21.7
Zalando,2025-11-03,31.2,15,53.8,Kurzfristige Tendenz,31.2,20,48.8,Mittelfristige Tendenz,22.4,-7.44,-8.59,22.6,17.6
